team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
St Kitts  Nevis Patriots,Antigua  Barbuda Falcons,40.0,50.0,50.0,0,2,20.0,50.0,147.2,139.8,7.4,7.0,164.0,58.24175824175825,St Kitts  Nevis Patriots,Bowl,27.8,83.0,96.0,Warner Park,Balanced,0
St Kitts  Nevis Patriots,Guyana Amazon Warriors,40.0,70.0,20.0,1,4,20.0,70.0,141.6,154.8,6.6,6.6,164.0,58.69565217391305,Guyana Amazon Warriors,Bowl,26.4,90.0,49.0,Warner Park,Balanced,1
Antigua  Barbuda Falcons,Barbados Tridents,50.0,20.0,0.0,1,1,44.44444444444444,50.0,133.2,135.6,7.4,7.4,150.0,81.81818181818183,Antigua  Barbuda Falcons,Bowl,27.8,78.0,96.0,Sir Vivian Richards Stadium,Balanced,0
St Kitts  Nevis Patriots,Trinbago Knight Riders,40.0,70.0,20.0,1,3,20.0,70.0,137.6,177.8,7.2,5.6,163.0,59.13978494623656,St Kitts  Nevis Patriots,Bowl,31.1,74.0,60.0,Warner Park,Balanced,1
Antigua  Barbuda Falcons,St Lucia Kings,50.0,50.0,0.0,2,4,44.44444444444444,100.0,128.4,177.8,7.2,5.0,150.0,83.33333333333334,Antigua  Barbuda Falcons,Bowl,23.9,88.0,49.0,Sir Vivian Richards Stadium,Balanced,0
St Kitts  Nevis Patriots,St Lucia Kings,40.0,50.0,20.0,1,4,20.0,50.0,159.4,177.8,6.6,5.0,164.0,58.51063829787234,St Kitts  Nevis Patriots,Bowl,28.2,84.0,25.0,Warner Park,Balanced,0
Antigua  Barbuda Falcons,Trinbago Knight Riders,50.0,70.0,100.0,2,3,44.44444444444444,33.33333333333333,128.4,184.6,7.2,6.0,150.0,76.92307692307693,Trinbago Knight Riders,Bowl,27.8,73.0,1.0,Sir Vivian Richards Stadium,Balanced,0
St Kitts  Nevis Patriots,Barbados Tridents,40.0,20.0,0.0,1,1,20.0,60.0,177.4,136.0,5.8,7.0,164.0,57.89473684210527,St Kitts  Nevis Patriots,Bowl,27.2,88.0,49.0,Warner Park,Balanced,0
Antigua  Barbuda Falcons,Guyana Amazon Warriors,50.0,70.0,0.0,3,5,44.44444444444444,100.0,136.6,154.8,6.8,5.6,151.0,71.42857142857143,Guyana Amazon Warriors,Bat,27.2,88.0,75.0,Sir Vivian Richards Stadium,Balanced,1
St Lucia Kings,Trinbago Knight Riders,50.0,70.0,60.0,3,3,60.0,75.0,174.8,190.4,6.0,5.2,156.0,63.04347826086957,St Lucia Kings,Bowl,28.6,81.0,9.0,Daren Sammy National Stadium,Balanced,1
Antigua  Barbuda Falcons,St Kitts  Nevis Patriots,50.0,40.0,33.33333333333333,2,2,44.44444444444444,50.0,135.2,173.6,8.0,6.6,155.0,66.66666666666666,Antigua  Barbuda Falcons,Bowl,31.1,70.0,49.0,Sir Vivian Richards Stadium,Balanced,0
St Lucia Kings,Barbados Tridents,50.0,20.0,80.0,3,1,60.0,70.0,174.8,134.0,6.0,7.2,156.0,61.70212765957447,Barbados Tridents,Bowl,26.3,92.0,66.0,Daren Sammy National Stadium,Balanced,1
St Lucia Kings,Guyana Amazon Warriors,50.0,70.0,40.0,3,5,60.0,44.44444444444444,174.8,165.4,6.0,5.0,156.0,62.5,Guyana Amazon Warriors,Bat,28.2,80.0,55.0,Daren Sammy National Stadium,Balanced,0
Trinbago Knight Riders,Antigua  Barbuda Falcons,70.0,50.0,0.0,3,3,80.0,0.0,178.6,146.0,4.6,6.0,144.0,50.0,Trinbago Knight Riders,Bowl,27.5,85.0,55.0,Brian Lara Stadium,Balanced,0
St Kitts  Nevis Patriots,St Lucia Kings,50.0,40.0,20.0,4,1,60.0,33.33333333333333,183.6,178.2,6.4,7.6,157.0,63.26530612244898,St Kitts  Nevis Patriots,Bowl,28.4,81.0,55.0,Daren Sammy National Stadium,Balanced,0
Trinbago Knight Riders,Barbados Tridents,70.0,20.0,80.0,3,1,80.0,30.0,178.6,134.0,4.6,7.2,144.0,50.0,Trinbago Knight Riders,Bowl,25.8,90.0,55.0,Brian Lara Stadium,Balanced,0
Trinbago Knight Riders,Guyana Amazon Warriors,70.0,70.0,60.0,4,4,80.0,60.0,180.8,178.2,4.6,4.8,145.0,51.16279069767442,Trinbago Knight Riders,Bowl,26.2,90.0,55.0,Brian Lara Stadium,Balanced,0
Antigua  Barbuda Falcons,St Lucia Kings,50.0,50.0,0.0,4,3,60.0,0.0,180.0,161.6,6.4,6.2,157.0,64.0,St Lucia Kings,Bowl,31.9,75.0,2.0,Daren Sammy National Stadium,Balanced,0
Trinbago Knight Riders,St Kitts  Nevis Patriots,70.0,40.0,80.0,4,1,80.0,10.0,168.4,180.0,4.4,6.6,146.0,52.27272727272727,St Kitts  Nevis Patriots,Bowl,32.1,62.0,25.0,Brian Lara Stadium,Balanced,0
Trinbago Knight Riders,St Lucia Kings,70.0,50.0,60.0,5,4,80.0,60.0,172.4,190.8,4.4,5.4,146.0,51.11111111111111,St Lucia Kings,Bowl,25.0,94.0,91.0,Brian Lara Stadium,Balanced,1
Barbados Tridents,Guyana Amazon Warriors,20.0,70.0,0.0,1,3,60.0,75.0,140.6,185.2,6.6,5.4,154.0,43.24324324324324,Guyana Amazon Warriors,Bowl,28.9,78.0,96.0,Kensington Oval,Balanced,1
Barbados Tridents,Antigua  Barbuda Falcons,20.0,50.0,0.0,0,2,60.0,50.0,160.8,156.4,7.6,6.0,154.0,44.73684210526316,Antigua  Barbuda Falcons,Bowl,28.9,74.0,49.0,Kensington Oval,Balanced,1
Guyana Amazon Warriors,Trinbago Knight Riders,70.0,70.0,20.0,3,4,70.0,50.0,180.0,157.6,5.8,5.0,153.0,53.2258064516129,Guyana Amazon Warriors,Bowl,24.9,94.0,25.0,Providence Stadium,Balanced,0
Barbados Tridents,St Lucia Kings,20.0,50.0,0.0,0,4,60.0,14.285714285714285,168.6,173.2,6.4,4.4,155.0,46.15384615384615,St Lucia Kings,Bowl,31.1,65.0,49.0,Kensington Oval,Balanced,0
Guyana Amazon Warriors,St Kitts  Nevis Patriots,70.0,40.0,100.0,3,1,70.0,30.0,182.8,169.6,6.2,6.4,153.0,53.96825396825397,Guyana Amazon Warriors,Bowl,25.9,88.0,9.0,Providence Stadium,Balanced,1
Guyana Amazon Warriors,Antigua  Barbuda Falcons,70.0,50.0,100.0,2,2,70.0,33.33333333333333,169.4,160.6,7.2,6.0,153.0,53.125,Antigua  Barbuda Falcons,Bowl,27.5,87.0,25.0,Providence Stadium,Balanced,1
Barbados Tridents,St Kitts  Nevis Patriots,20.0,40.0,0.0,1,2,60.0,55.55555555555556,176.6,160.0,6.2,6.4,156.0,45.0,St Kitts  Nevis Patriots,Bowl,28.9,74.0,25.0,Kensington Oval,Balanced,1
Barbados Tridents,Trinbago Knight Riders,20.0,70.0,0.0,1,3,60.0,50.0,174.0,160.6,5.6,5.6,156.0,43.90243902439025,Barbados Tridents,Bowl,27.2,78.0,10.0,Kensington Oval,Balanced,1
Guyana Amazon Warriors,St Lucia Kings,70.0,50.0,40.0,2,4,70.0,40.0,148.8,173.0,8.0,5.0,152.0,53.84615384615385,St Lucia Kings,Bat,31.6,58.0,25.0,Providence Stadium,Balanced,0
Guyana Amazon Warriors,Barbados Tridents,70.0,20.0,80.0,3,2,70.0,20.0,153.8,172.8,7.8,5.0,152.0,54.54545454545454,Barbados Tridents,Bowl,26.9,90.0,60.0,Providence Stadium,Balanced,0
Trinbago Knight Riders,Antigua  Barbuda Falcons,70.0,50.0,25.0,2,3,50.0,33.33333333333333,158.0,155.6,6.6,5.2,153.0,53.73134328358209,Trinbago Knight Riders,Bowl,25.1,10.0,25.0,Providence Stadium,Balanced,0
St Lucia Kings,Guyana Amazon Warriors,50.0,70.0,40.0,3,3,40.0,70.0,169.4,157.6,4.6,7.8,153.0,54.41176470588235,St Lucia Kings,Bowl,26.9,90.0,55.0,Providence Stadium,Balanced,1
Trinbago Knight Riders,St Lucia Kings,70.0,50.0,60.0,2,2,50.0,40.0,157.8,162.0,6.0,6.0,153.0,53.62318840579711,St Lucia Kings,Bowl,26.7,91.0,55.0,Providence Stadium,Balanced,0
Guyana Amazon Warriors,Trinbago Knight Riders,70.0,70.0,40.0,3,2,70.0,50.0,155.4,160.8,8.4,5.6,154.0,52.85714285714286,Guyana Amazon Warriors,Bat,26.1,88.0,25.0,Providence Stadium,Balanced,1
Antigua  Barbuda Falcons,St Kitts  Nevis Patriots,50.0,40.0,0.0,0,1,44.44444444444444,50.0,161.40588235294118,164.00588235294117,6.370588235294117,5.96470588235294,143.0,83.33333333333334,St Kitts  Nevis Patriots,Bowl,27.8,78.0,57.0,Sir Vivian Richards Stadium,Balanced,1
Antigua  Barbuda Falcons,Guyana Amazon Warriors,50.0,70.0,0.0,0,4,44.44444444444444,100.0,182.6,170.0,6.4,5.0,146.0,85.71428571428571,Guyana Amazon Warriors,Bowl,27.8,78.0,60.0,Sir Vivian Richards Stadium,Balanced,1
St Kitts  Nevis Patriots,Trinbago Knight Riders,40.0,70.0,20.0,2,3,20.0,70.0,148.2,152.2,7.8,5.4,162.0,58.13953488372093,St Kitts  Nevis Patriots,Bowl,28.5,82.0,10.0,Warner Park,Balanced,1
Antigua  Barbuda Falcons,Barbados Tridents,50.0,20.0,0.0,0,2,44.44444444444444,50.0,180.8,170.8,5.8,4.8,149.0,87.5,Barbados Tridents,Bowl,32.2,62.0,49.0,Sir Vivian Richards Stadium,Balanced,0
St Kitts  Nevis Patriots,St Lucia Kings,40.0,50.0,40.0,2,1,20.0,50.0,171.8,138.0,7.4,6.4,163.0,57.47126436781609,St Kitts  Nevis Patriots,Bowl,27.1,88.0,25.0,Warner Park,Balanced,0
Antigua  Barbuda Falcons,St Lucia Kings,50.0,50.0,0.0,0,2,44.44444444444444,100.0,162.0,148.6,5.4,6.0,148.0,88.88888888888889,St Lucia Kings,Bowl,28.9,69.0,40.0,Sir Vivian Richards Stadium,Balanced,0
St Kitts  Nevis Patriots,Guyana Amazon Warriors,40.0,70.0,60.0,2,4,20.0,70.0,168.0,168.8,7.2,5.6,163.0,57.95454545454546,Guyana Amazon Warriors,Bat,28.2,79.0,25.0,Warner Park,Balanced,1
Antigua  Barbuda Falcons,Trinbago Knight Riders,50.0,70.0,0.0,0,3,44.44444444444444,33.33333333333333,157.0,171.2,5.8,5.6,147.0,90.0,Trinbago Knight Riders,Bowl,27.8,83.0,25.0,Sir Vivian Richards Stadium,Balanced,0
St Kitts  Nevis Patriots,Barbados Tridents,40.0,20.0,20.0,1,2,20.0,60.0,183.2,170.8,8.0,4.8,164.0,57.30337078651685,St Kitts  Nevis Patriots,Bowl,28.2,86.0,25.0,Warner Park,Balanced,1
St Lucia Kings,Guyana Amazon Warriors,50.0,70.0,40.0,3,4,60.0,44.44444444444444,144.0,176.8,6.0,5.6,156.0,61.90476190476191,Guyana Amazon Warriors,Bowl,27.4,88.0,80.0,Daren Sammy National Stadium,Balanced,1
St Kitts  Nevis Patriots,Antigua  Barbuda Falcons,40.0,50.0,100.0,1,1,20.0,50.0,190.0,158.8,7.6,6.4,164.0,57.77777777777777,Antigua  Barbuda Falcons,Bowl,31.1,74.0,86.0,Warner Park,Balanced,1
Trinbago Knight Riders,St Lucia Kings,50.0,70.0,40.0,2,2,60.0,75.0,153.8,172.4,6.8,7.0,155.0,62.7906976744186,Trinbago Knight Riders,Bowl,27.9,83.0,77.0,Daren Sammy National Stadium,Balanced,0
Barbados Tridents,Antigua  Barbuda Falcons,20.0,50.0,0.0,2,2,60.0,50.0,157.6,157.0,6.0,7.2,154.0,41.17647058823529,Barbados Tridents,Bowl,27.8,83.0,92.0,Kensington Oval,Balanced,1
St Kitts  Nevis Patriots,St Lucia Kings,50.0,40.0,40.0,2,0,60.0,33.33333333333333,151.0,204.8,7.0,6.4,155.0,63.63636363636363,St Kitts  Nevis Patriots,Bowl,28.4,83.0,41.0,Daren Sammy National Stadium,Balanced,0
Barbados Tridents,Trinbago Knight Riders,20.0,70.0,0.0,3,3,60.0,50.0,149.8,174.0,5.2,6.4,154.0,41.17647058823529,Trinbago Knight Riders,Bowl,28.9,78.0,25.0,Kensington Oval,Balanced,1
Barbados Tridents,Guyana Amazon Warriors,20.0,70.0,0.0,3,5,60.0,75.0,145.4,163.8,5.0,5.0,154.0,42.85714285714285,Guyana Amazon Warriors,Bowl,27.2,88.0,10.0,Kensington Oval,Balanced,1
Antigua  Barbuda Falcons,St Lucia Kings,50.0,50.0,0.0,3,2,60.0,0.0,160.6,158.8,6.2,6.2,156.0,64.44444444444444,Antigua  Barbuda Falcons,Bowl,28.5,84.0,49.0,Daren Sammy National Stadium,Balanced,0
Barbados Tridents,St Kitts  Nevis Patriots,20.0,40.0,0.0,4,0,60.0,55.55555555555556,158.8,181.2,5.0,6.8,155.0,41.66666666666667,St Kitts  Nevis Patriots,Bowl,27.2,94.0,92.0,Kensington Oval,Balanced,0
Trinbago Knight Riders,Guyana Amazon Warriors,70.0,70.0,20.0,3,4,60.0,40.0,172.4,162.0,7.4,4.8,154.0,53.06122448979592,Trinbago Knight Riders,Bowl,27.2,89.0,43.0,Queens Park Oval,Balanced,0
Trinbago Knight Riders,Antigua  Barbuda Falcons,70.0,50.0,0.0,4,2,60.0,100.0,183.4,154.8,6.4,6.8,154.0,54.0,Antigua  Barbuda Falcons,Bowl,27.1,88.0,57.0,Queens Park Oval,Balanced,1
Guyana Amazon Warriors,St Kitts  Nevis Patriots,70.0,40.0,60.0,3,0,70.0,30.0,171.8,163.0,6.0,8.2,151.0,56.60377358490566,St Kitts  Nevis Patriots,Bowl,27.4,94.0,25.0,Providence Stadium,Balanced,0
St Lucia Kings,Barbados Tridents,50.0,20.0,40.0,3,4,40.0,20.0,151.8,151.6,6.4,5.0,151.0,55.55555555555556,Barbados Tridents,Bat,32.8,66.0,60.0,Providence Stadium,Balanced,0
Guyana Amazon Warriors,Antigua  Barbuda Falcons,70.0,50.0,100.0,3,3,70.0,33.33333333333333,165.0,153.4,6.2,6.2,150.0,56.36363636363636,Antigua  Barbuda Falcons,Bowl,28.1,80.0,60.0,Providence Stadium,Balanced,0
Barbados Tridents,St Lucia Kings,20.0,50.0,0.0,3,3,20.0,40.0,139.4,142.4,5.2,6.4,150.0,55.35714285714286,Barbados Tridents,Bowl,34.5,55.0,65.0,Providence Stadium,Balanced,1
Trinbago Knight Riders,St Kitts  Nevis Patriots,70.0,40.0,60.0,3,0,80.0,10.0,160.2,139.2,7.2,8.2,141.0,51.28205128205128,St Kitts  Nevis Patriots,Bowl,27.0,85.0,3.0,Brian Lara Stadium,Balanced,0
